concurrency_level,n_requests,n_errors,error_rate,avg_score,exact_match_rate,throughput_req_s,level_wall_time_s,total_p50,total_p95,total_p99,agent_p95,db_p95,cpu_pct_mean,cpu_pct_max,mem_pct_mean,mem_pct_max,gpu_util_pct_mean,gpu_util_pct_max,gpu_mem_used_mb_max
1,10,0,0.0,0.4,0.4,0.56,17.844,1.246,4.667,6.375,4.531,0.684,5.2,6.1,2.9,3.0,44.8,92.0,27761.0
2,20,0,0.0,0.35,0.35,1.007,19.852,1.455,3.278,3.916,2.993,0.872,6.9,11.7,3.0,3.0,82.4,92.0,27761.0
4,40,0,0.0,0.48,0.475,1.328,30.125,2.67,4.869,6.838,4.384,1.181,8.0,14.1,3.0,3.0,81.9,92.0,27761.0
8,80,0,0.0,0.388,0.388,1.116,71.706,6.866,9.479,10.145,9.344,0.935,7.7,23.9,3.0,3.1,84.4,92.0,27761.0
16,160,0,0.0,0.362,0.356,1.131,141.469,13.645,17.777,19.438,17.028,1.122,8.1,47.9,3.0,3.1,86.6,92.0,27761.0
32,320,0,0.0,0.44,0.438,1.128,283.68,27.463,35.092,36.351,34.735,1.119,10.6,84.6,3.6,5.0,82.3,93.0,27761.0
