concurrency_level,n_requests,n_errors,error_rate,avg_score,exact_match_rate,throughput_req_s,level_wall_time_s,total_p50,total_p95,total_p99,agent_p95,db_p95
1,10,0,0.0,0.4,0.4,0.787,12.707,1.242,2.049,2.054,1.85,0.686
2,20,0,0.0,0.35,0.35,1.003,19.945,1.458,3.282,3.932,3.004,0.877
4,40,0,0.0,0.48,0.475,1.332,30.034,2.63,4.886,6.821,4.393,1.169
8,80,0,0.0,0.388,0.388,1.117,71.608,6.896,9.408,10.002,9.287,0.935
16,160,0,0.0,0.362,0.356,1.128,141.851,13.55,17.714,19.424,16.996,1.065
32,320,0,0.0,0.44,0.438,1.174,272.674,26.954,32.31,33.942,32.137,1.091
