concurrency_level,n_requests,n_errors,error_rate,avg_score,exact_match_rate,throughput_req_s,level_wall_time_s,total_p50,total_p95,total_p99,agent_p95,db_p95,cpu_pct_mean,cpu_pct_max,mem_pct_mean,mem_pct_max,gpu_util_pct_mean,gpu_util_pct_max,gpu_mem_used_mb_max
1,10,0,0.0,0.4,0.4,0.683,14.648,1.442,2.608,2.805,2.355,0.719,1.3,5.2,4.5,4.5,83.2,100.0,70797.0
2,20,0,0.0,0.4,0.4,0.994,20.12,1.312,6.445,6.471,2.982,1.603,2.8,6.7,4.6,4.7,82.5,100.0,70797.0
4,40,0,0.0,0.53,0.525,2.776,14.407,1.192,3.752,6.327,2.674,1.168,3.4,7.0,4.6,4.6,92.2,100.0,70797.0
8,80,0,0.0,0.375,0.375,4.116,19.436,1.333,5.118,7.139,3.063,1.095,5.7,33.3,4.7,4.8,94.4,100.0,70803.0
16,160,0,0.0,0.362,0.356,6.453,24.793,1.324,8.032,11.772,3.29,3.709,10.7,23.9,4.8,4.9,86.4,100.0,70803.0
32,320,0,0.0,0.453,0.45,9.74,32.853,1.401,6.787,17.159,3.172,4.259,12.7,34.9,4.8,5.0,66.4,100.0,70803.0
